Species2_eBird,mean_Tail.LengthF,mean_Tail.LengthM,Mass,Sex,Family2,Order2,Tarsus.Length,Wing.Length,Tail.Length,Tail.Length.2
Automolus paraensis,75.33333333,75,36,Mean,Furnariidae,Passeriformes,22.4,89.7,75.2,75.2
Automolus rufipileatus,79.5,83.5,34.8,Mean,Furnariidae,Passeriformes,23.2,86.9,79.6,79.6
Automolus subulatus,66.33333333,71.01904762,28.8,Mean,Furnariidae,Passeriformes,20.1,80.4,69.3,69.3
Baeolophus atricristatus,60,63.75,17.5,Mean,Paridae,Passeriformes,19.1,72,63,63
Baeolophus bicolor,67,69.1,21.6,Mean,Paridae,Passeriformes,20.5,77.9,68.6,68.6
Baeolophus inornatus,57.5,57.66666667,15.9,Mean,Paridae,Passeriformes,20.7,68,57.6,57.6
Baeolophus ridgwayi,63.25,63.5,15.9,Mean,Paridae,Passeriformes,20.8,72.5,63.4,63.4
Baeolophus wollweberi,56.5,60.5,10.4,Mean,Paridae,Passeriformes,16.3,64,58.5,58.5
Baeopogon clamans,71,76.5,45.8,Mean,Pycnonotidae,Passeriformes,18.4,97.8,73.8,73.8
Baeopogon indicator,76.25,85,45.8,Mean,Pycnonotidae,Passeriformes,19.4,98.2,78.4,78.4
Bangsia arcaei,45.5,49,37.2,Mean,Thraupidae,Passeriformes,21.2,86.8,47.5,47.5
Bangsia aureocincta,53.26666667,59.26666667,41.7,Mean,Thraupidae,Passeriformes,25.3,89.8,56.3,56.3
Bangsia edwardsi,51.5,55,37,Mean,Thraupidae,Passeriformes,23.6,90,54.1,54.1
Bangsia flavovirens,58,58,25,Mean,Thraupidae,Passeriformes,20.4,78.2,57.5,57.5
Bangsia melanochlamys,52.75,49,37.2,Mean,Thraupidae,Passeriformes,24.9,88.5,51.5,51.5
Bangsia rothschildi,52.5,53,48.5,Mean,Thraupidae,Passeriformes,22.7,88,52.6,52.6
Basileuterus belli,59.04,60.13333333,10.7,Mean,Parulidae,Passeriformes,21.2,59.7,59.7,59.7
Basileuterus culicivorus,51.51111111,55.20666667,10.5,Mean,Parulidae,Passeriformes,18.9,58.5,53.7,53.7
Basileuterus delattrii,50,57.51818182,10.4,Mean,Parulidae,Passeriformes,21,56.6,55.2,55.2
Basileuterus griseiceps,61.33333333,59,13,Mean,Parulidae,Passeriformes,22.1,62.1,60.8,60.8
Basileuterus ignotus,58,59,10.9,Mean,Parulidae,Passeriformes,20.5,55,58.5,58.5
Basileuterus lachrymosus,69.475,69.725,25.6,Mean,Parulidae,Passeriformes,23.6,74.3,69.6,69.6
Basileuterus melanogenys,59.85,68.3125,11.8,Mean,Parulidae,Passeriformes,21.9,62.6,64.5,64.5
Basileuterus melanotis,56.46,54.875,12,Mean,Parulidae,Passeriformes,20.6,59.8,55.8,55.8
Basileuterus rufifrons,59.06,62.71428571,10.4,Mean,Parulidae,Passeriformes,20.1,51.1,61.8,61.8
Basileuterus trifasciatus,50.975,55.23333333,9.7,Mean,Parulidae,Passeriformes,19.8,56.8,52.8,52.8
Basileuterus tristriatus,56.60714286,56.86363636,12,Mean,Parulidae,Passeriformes,20.4,61.3,56.5,56.5
Basilornis celebensis,87.5,82,126,Mean,Sturnidae,Passeriformes,27.2,126.4,84.8,84.8
Basilornis corythaix,NA,96.25,126,Mean,Sturnidae,Passeriformes,30,135.4,97.9,97.9
Batara cinerea,166,166.6,131,Mean,Thamnophilidae,Passeriformes,47,119.8,165.6,165.6
Bathilda ruficauda,41,45.25,11.1,Mean,Estrildidae,Passeriformes,13.9,50.9,43.6,43.6
Bathmocercus cerviniventris,56,49.83333333,15.8,Mean,Cisticolidae,Passeriformes,23.3,57.1,51.4,51.4
Bathmocercus rufus,52.75,58.5,15.4,Mean,Cisticolidae,Passeriformes,25,56.7,55,55
Batis capensis,46.5,43.66666667,11.7,Mean,Platysteiridae,Passeriformes,19.4,56.5,44.8,44.8
Batis crypta,34.5,34.875,12.2,Mean,Platysteiridae,Passeriformes,19,59.7,35.3,35.3
Batis diops,41.5,41.8,12.7,Mean,Platysteiridae,Passeriformes,19.9,62.7,41.7,41.7
Batis erlangeri,45.5,42.28571429,12.5,Mean,Platysteiridae,Passeriformes,16.8,59.4,43,43
Batis fratrum,36.5,35,11.9,Mean,Platysteiridae,Passeriformes,19.2,60,35.3,35.3
Batis ituriensis,NA,33.25,10.7,Mean,Platysteiridae,Passeriformes,13.2,49.5,33.2,33.2
Batis margaritae,45,47.6,11.7,Mean,Platysteiridae,Passeriformes,19.6,64.9,47.2,47.2
Batis minima,40,38.33333333,10,Mean,Platysteiridae,Passeriformes,13.4,48.6,38.8,38.8
Batis minor,46,40.55555556,12.5,Mean,Platysteiridae,Passeriformes,16.8,57.6,41.5,41.5
Batis minulla,40.5,36,9.9,Mean,Platysteiridae,Passeriformes,17,52.9,37.1,37.1
Batis mixta,34.45714286,33.63333333,12.2,Mean,Platysteiridae,Passeriformes,18.3,60.3,34,34
Batis molitor,44.75,41.54545455,11.6,Mean,Platysteiridae,Passeriformes,17.9,59.8,42.8,42.8
Batis occulta,33.25,33,9,Mean,Platysteiridae,Passeriformes,13.2,49.2,33.1,33.1
Batis orientalis,42.5,39.25,11.1,Mean,Platysteiridae,Passeriformes,17.2,56.8,39.9,39.9
Batis perkeo,38,33.25,6.9,Mean,Platysteiridae,Passeriformes,16.6,51.3,34.4,34.4
Batis poensis,32,30.4,9.6,Mean,Platysteiridae,Passeriformes,15.6,51.2,30.7,30.7
Batis pririt,41.5,39,9.3,Mean,Platysteiridae,Passeriformes,18.3,53.8,39.5,39.5
Batis senegalensis,41,40.83333333,9.6,Mean,Platysteiridae,Passeriformes,16.6,54.5,40.9,40.9
Batis soror,39.5,36.4375,9.5,Mean,Platysteiridae,Passeriformes,16.6,54.1,37,37
Berlepschia rikeri,77,78.85,37,Mean,Furnariidae,Passeriformes,21,96.1,77.7,77.7
Bernieria madagascariensis,64.5,77.66666667,25.3,Mean,Bernieridae,Passeriformes,23.4,77.2,72.4,72.4
Bias musicus,53.5,52.66666667,21.9,Mean,Vangidae,Passeriformes,13.8,87.2,53,53
Biatas nigropectus,76,76.81428571,25.5,Mean,Thamnophilidae,Passeriformes,24.3,74.8,76.6,76.6
Bleda canicapillus,89.5,90.25,41.3,Mean,Pycnonotidae,Passeriformes,25.5,98.4,91.3,91.3
Bleda eximius,93.5,101.5,35.7,Mean,Pycnonotidae,Passeriformes,25.4,103.2,97.5,97.5
Bleda notatus,76.75,82,35.7,Mean,Pycnonotidae,Passeriformes,25,90.2,81.1,81.1
Bleda syndactylus,89.66666667,98.6,46.1,Mean,Pycnonotidae,Passeriformes,25.4,105.4,95,95
Bolemoreus frenatus,83,91.66666667,34.1,Mean,Meliphagidae,Passeriformes,24.2,99.7,83.6,83.6
Bolemoreus hindwoodi,76,78,22.9,Mean,Meliphagidae,Passeriformes,20.6,85.8,69.2,69.2
Bombycilla cedrorum,56,62.8,31.6,Mean,Bombycillidae,Passeriformes,16.7,95.4,59.8,59.8
Bombycilla garrulus,65.5,66,54.4,Mean,Bombycillidae,Passeriformes,20.7,116.2,65.8,65.8
Bombycilla japonica,51,56,42.3,Mean,Bombycillidae,Passeriformes,17.3,107.2,54,54
Brachycope anomala,31,28.16666667,25.3,Mean,Ploceidae,Passeriformes,18,59.2,28.9,28.9
Brachypodius eutilotus,75,79.33333333,35.3,Mean,Pycnonotidae,Passeriformes,17.7,91.5,77.3,77.3
Brachypodius fuscoflavescens,67,66.5,25.5,Mean,Pycnonotidae,Passeriformes,15.5,76.5,66.8,66.8
Brachypodius melanocephalos,64.5,69,25.5,Mean,Pycnonotidae,Passeriformes,14.8,78.6,67.2,67.2
Brachypodius melanoleucos,69,68,31,Mean,Pycnonotidae,Passeriformes,13.9,83.2,68.4,68.4
Brachypodius priocephalus,75,73.66666667,25.5,Mean,Pycnonotidae,Passeriformes,14.1,74.4,74.2,74.2
Brachypodius urostictus,80.5,83.5,24.8,Mean,Pycnonotidae,Passeriformes,16.1,79,83.2,83.2
Brachypteryx hyperythra,36,42.5,15.8,Mean,Muscicapidae,Passeriformes,27.4,59.5,39.5,39.5
Brachypteryx leucophris,33.5,35.5,15.8,Mean,Muscicapidae,Passeriformes,26,56.6,34.5,34.5
Brachypteryx montana,52.5,57,17.7,Mean,Muscicapidae,Passeriformes,31,64.3,55.2,55.2
Brachypteryx stellata,44,49.66666667,23,Mean,Muscicapidae,Passeriformes,29.3,70.6,47.4,47.4
Bradornis boehmi,52.5,53,19.3,Mean,Muscicapidae,Passeriformes,18.3,79.4,52.7,52.7
Bradornis comitatus,50.5,59.33333333,14.1,Mean,Muscicapidae,Passeriformes,15.5,63.9,54.9,54.9
Bradornis fuliginosus,47,50.66666667,17.7,Mean,Muscicapidae,Passeriformes,11.6,81.2,49.2,49.2
Bradornis mariquensis,77.5,75.5,25.2,Mean,Muscicapidae,Passeriformes,22,85.8,76.5,76.5
Bradornis microrhynchus,64.25,63.08333333,19.5,Mean,Muscicapidae,Passeriformes,20.5,81.3,63.7,63.7
Bradornis ussheri,51.5,52.66666667,17.8,Mean,Muscicapidae,Passeriformes,13.9,82.6,52.2,52.2
Bradypterus baboecala,59.5,67.33333333,12.9,Mean,Locustellidae,Passeriformes,20.4,58.5,64.2,64.2
Bradypterus bangwaensis,63.5,67,21,Mean,Locustellidae,Passeriformes,24.1,61.3,65.6,65.6
Bradypterus barratti,72,70.66666667,18.8,Mean,Locustellidae,Passeriformes,21.9,62.3,71.2,71.2
Bradypterus brunneus,86,78,14.2,Mean,Locustellidae,Passeriformes,19.1,49.9,81.2,81.2
Bradypterus carpalis,68.5,77,22.4,Mean,Locustellidae,Passeriformes,26.2,67.8,71.3,71.3
Bradypterus cinnamomeus,63,66.2,17.4,Mean,Locustellidae,Passeriformes,23.1,62.3,65.3,65.3
Bradypterus grandis,NA,82,18.5,Mean,Locustellidae,Passeriformes,24.8,66,82,82
Bradypterus graueri,NA,74,17,Mean,Locustellidae,Passeriformes,24.2,57.5,70.7,70.7
Bradypterus lopezi,56.375,58,19.2,Mean,Locustellidae,Passeriformes,23.3,60.6,58.7,58.7
Bradypterus seebohmi,100,85,12.3,Mean,Locustellidae,Passeriformes,18.5,50.1,92.5,92.5
Bradypterus sylvaticus,55,58,21,Mean,Locustellidae,Passeriformes,19.2,57,56.8,56.8
Brunhilda charmosyna,57.5,61.5,7.4,Mean,Estrildidae,Passeriformes,13.9,52.2,59.5,59.5
Brunhilda erythronotos,62.5,59.5,9.2,Mean,Estrildidae,Passeriformes,14.6,52.6,61,61
Bubalornis albirostris,96,100,61.9,Mean,Ploceidae,Passeriformes,28.2,114.2,98,98
Bubalornis niger,96.375,103.1,76.2,Mean,Ploceidae,Passeriformes,30.3,115.9,100.1,100.1
Bucanetes githagineus,52,53.83333333,19.6,Mean,Fringillidae,Passeriformes,16.2,81.9,53.1,53.1
Bucanetes mongolicus,55,63,21.5,Mean,Fringillidae,Passeriformes,18.1,84.8,59.8,59.8
Buphagus africanus,96.5,94.16666667,58.5,Mean,Buphagidae,Passeriformes,22.1,118.3,95.1,95.1
Buphagus erythrorynchus,93.33333333,103.3333333,50.7,Mean,Buphagidae,Passeriformes,20.4,118.6,98.3,98.3
Buthraupis montana,93.07142857,93.35714286,87.1,Mean,Thraupidae,Passeriformes,32.4,128.7,90.4,90.4
Cacicus cela,86.6,104.9375,85.5,Mean,Icteridae,Passeriformes,29.7,145.2,98.6,98.6
Cacicus chrysonotus,119.375,138,79.5,Mean,Icteridae,Passeriformes,31.7,143.2,128.7,128.7
Cacicus chrysopterus,85.5,85.5,36.2,Mean,Icteridae,Passeriformes,25,99.8,85.5,85.5
Cacicus haemorrhous,91.5,110.625,83.7,Mean,Icteridae,Passeriformes,29.8,161.8,101.1,101.1
Cacicus koepckeae,NA,100,48,Mean,Icteridae,Passeriformes,27,110,100,100
Cacicus latirostris,100,115.6666667,96.1,Mean,Icteridae,Passeriformes,31.9,188,109.4,109.4
Cacicus oseryi,119.25,139.2,137.7,Mean,Icteridae,Passeriformes,37.9,187.2,130.3,130.3
Cacicus sclateri,NA,95.86666667,49,Mean,Icteridae,Passeriformes,27,106.1,95.9,95.9
Cacicus solitarius,109.6666667,111.5,79.8,Mean,Icteridae,Passeriformes,29,118.1,110.4,110.4
Cacicus uropygialis,91.32857143,105.8571429,61.2,Mean,Icteridae,Passeriformes,29.5,135.9,104.6,104.6
Calamanthus campestris,46,43,13.9,Mean,Acanthizidae,Passeriformes,22.2,55.1,43.8,43.8
Calamanthus fuliginosus,56,55.66666667,20.8,Mean,Acanthizidae,Passeriformes,21.8,56.1,51,51
Calamonastes fasciolatus,48.5,56.25,13.1,Mean,Cisticolidae,Passeriformes,21.4,59,54.7,54.7
Calamonastes simplex,56,58.8,12,Mean,Cisticolidae,Passeriformes,21.1,59.1,57.6,57.6
Calamonastes stierlingi,43.5,53.5,13,Mean,Cisticolidae,Passeriformes,19.8,60.6,48.5,48.5
Calamonastes undosus,52,56.33333333,13,Mean,Cisticolidae,Passeriformes,20.4,60.9,54.6,54.6
Calamonastides gracilirostris,NA,64.25,10.8,Mean,Acrocephalidae,Passeriformes,22.8,58,64.2,64.2
Calamornis heudei,103.5,107.6666667,32,Mean,Sylviidae,Passeriformes,24.6,63.4,106,106
Calamospiza melanocorys,64,64.83333333,37.6,Mean,Passerellidae,Passeriformes,24,86.6,64.5,64.5
Calandrella acutirostris,58.5,70,20.2,Mean,Alaudidae,Passeriformes,18.9,89,64.2,64.2
Calandrella blanfordi,51.66666667,60.8,23.7,Mean,Alaudidae,Passeriformes,19.1,88.2,57.4,57.4
Calandrella brachydactyla,59.5,60,21.1,Mean,Alaudidae,Passeriformes,19.8,93.5,59.8,59.8
Calandrella cinerea,59,66.66666667,23.7,Mean,Alaudidae,Passeriformes,20,90.6,63.6,63.6
Calcarius lapponicus,NA,67.8,27.8,Mean,Calcariidae,Passeriformes,21.1,94.9,67.8,67.8
Calcarius ornatus,56.5,56.5,20.3,Mean,Calcariidae,Passeriformes,20,78.6,56.5,56.5
Calcarius pictus,60.75,64.75,26.7,Mean,Calcariidae,Passeriformes,20.2,90.9,62.8,62.8
Calendulauda africanoides,60,63.33333333,23.4,Mean,Alaudidae,Passeriformes,22.1,85.6,62,62
Calendulauda albescens,60,64,30.4,Mean,Alaudidae,Passeriformes,24.1,86.2,60,60
Calendulauda alopex,52,53.33333333,24,Mean,Alaudidae,Passeriformes,21.5,82.9,53,53
Calendulauda barlowi,NA,61.75,28.1,Mean,Alaudidae,Passeriformes,27.7,91.6,62.2,62.2
Calendulauda burra,70,76,37.4,Mean,Alaudidae,Passeriformes,26.8,97,73.6,73.6
Calendulauda erythrochlamys,68,69,28.1,Mean,Alaudidae,Passeriformes,26.6,85,68,68
Calendulauda poecilosterna,63,69,24.7,Mean,Alaudidae,Passeriformes,22.3,86.8,66.6,66.6
Calendulauda sabota,48,54.83333333,24.7,Mean,Alaudidae,Passeriformes,21.6,82.1,52.1,52.1
Calicalicus madagascariensis,47.5,46.5,16.4,Mean,Vangidae,Passeriformes,20.2,66.5,46.7,46.7
Calicalicus rufocarpalis,60.7,NA,16.8,Mean,Vangidae,Passeriformes,21.8,62,60.7,60.7
Caligavis chrysops,70,71.5,17.3,Mean,Meliphagidae,Passeriformes,18.2,78.1,67.1,67.1
Caligavis obscura,71,81.66666667,26.4,Mean,Meliphagidae,Passeriformes,23.5,86.7,71.9,71.9
Caligavis subfrenata,86.5,93,29.7,Mean,Meliphagidae,Passeriformes,24,95.8,87,87
Callacanthis burtoni,67.5,70.66666667,38.1,Mean,Fringillidae,Passeriformes,19.4,97.3,69.4,69.4
Calliope calliope,58.5,66.66666667,18.5,Mean,Muscicapidae,Passeriformes,28.8,78.2,63.4,63.4
Calliope obscura,NA,48,19.6,Mean,Muscicapidae,Passeriformes,26.7,68,47.8,47.8
Calliope pectardens,NA,56.2,14.5,Mean,Muscicapidae,Passeriformes,26.5,71,56.2,56.2
Calliope pectoralis,57,67.16666667,23.3,Mean,Muscicapidae,Passeriformes,29.6,70.8,63.1,63.1
Calochaetes coccineus,NA,61,46.4,Mean,Thraupidae,Passeriformes,20.7,95.2,58.8,58.8
Calocitta colliei,397,480.875,234,Mean,Corvidae,Passeriformes,47.6,208.8,452.9,452.9
Calocitta formosa,401.5,286,210,Mean,Corvidae,Passeriformes,46.9,194.6,309.1,309.1
Calyptocichla serinus,79.5,79,38.7,Mean,Pycnonotidae,Passeriformes,20.2,89.6,79.2,79.2
Calyptomena hosii,66,62,92,Mean,Calyptomenidae,Passeriformes,26.2,120.2,63,63
Calyptomena viridis,50,48.36,58.5,Mean,Calyptomenidae,Passeriformes,21.4,97.8,51.6,51.6
Calyptomena whiteheadi,85,82.5,156.1,Mean,Calyptomenidae,Passeriformes,25.5,149.5,86.7,86.7
Calyptophilus frugivorus,78,89,32.1,Mean,Calyptophilidae,Passeriformes,26.8,88.4,84,84
Calyptophilus tertius,89.5,95.5,49.2,Mean,Calyptophilidae,Passeriformes,31.3,88.4,92.5,92.5
Calyptura cristata,23,23,7.8,Mean,Tyrannidae,Passeriformes,14.9,47.9,23.2,23.2
Camarhynchus heliobates,42,43,18,Mean,Thraupidae,Passeriformes,23.6,71,42.5,42.5
Camarhynchus pallidus,39.5,40.66666667,23.1,Mean,Thraupidae,Passeriformes,22.6,69,40.2,40.2
Camarhynchus parvulus,35,37.5,13.2,Mean,Thraupidae,Passeriformes,19.3,61.3,36.7,36.7
Camarhynchus pauper,47.5,50.25,16,Mean,Thraupidae,Passeriformes,22.1,69,48.9,48.9
Camarhynchus psittacula,40.66666667,41.5,18.7,Mean,Thraupidae,Passeriformes,21.5,68.7,41.1,41.1
Camaroptera brachyura,36.66666667,41.57142857,9.7,Mean,Cisticolidae,Passeriformes,21.4,52.8,40.6,40.6
Camaroptera chloronota,29.33333333,32.66666667,11.4,Mean,Cisticolidae,Passeriformes,21.7,52,27.8,27.8
Camaroptera harterti,39.75,43.5,9.7,Mean,Cisticolidae,Passeriformes,21,51.1,41.6,41.6
Camaroptera superciliaris,29,28.77777778,9.7,Mean,Cisticolidae,Passeriformes,19.2,48.6,28.6,28.6
Campephaga flava,96,81.54545455,32.3,Mean,Campephagidae,Passeriformes,19.7,98.8,85.4,85.4
Campephaga petiti,88.5,81,31.3,Mean,Campephagidae,Passeriformes,19,95.5,82.9,82.9
Campephaga phoenicea,92,84.11111111,27.1,Mean,Campephagidae,Passeriformes,19.7,97.5,85.5,85.5
Campephaga quiscalina,89,89.66666667,34.5,Mean,Campephagidae,Passeriformes,19.2,97.7,89.4,89.4
Campicoloides bifasciatus,59.3,68.96,35,Mean,Muscicapidae,Passeriformes,31,89.4,64.7,64.7
Campochaera sloetii,93.5,85.55555556,41,Mean,Campephagidae,Passeriformes,20.2,105.1,87,87
Camptostoma imberbe,40,39.33333333,7.4,Mean,Tyrannidae,Passeriformes,14,49.4,39.7,39.7
Camptostoma obsoletum,41.74444444,41.3125,8.1,Mean,Tyrannidae,Passeriformes,13.9,52.3,40.9,40.9
Campylorhamphus falcularius,101,102,42.6,Mean,Furnariidae,Passeriformes,22.2,99.5,98.4,98.4
Campylorhamphus procurvoides,85.5,86.5,33.5,Mean,Furnariidae,Passeriformes,19.4,94.2,86.4,86.4
Campylorhamphus pusillus,94.4,101.75,40.5,Mean,Furnariidae,Passeriformes,20.8,95.6,95,95
Campylorhamphus trochilirostris,95.66666667,93.99375,40.8,Mean,Furnariidae,Passeriformes,21.5,98.5,91.9,91.9
Campylorhynchus albobrunneus,NA,80,32.9,Mean,Troglodytidae,Passeriformes,25.1,82.2,82,82
Campylorhynchus brunneicapillus,82.5,89,38.9,Mean,Troglodytidae,Passeriformes,26.2,83.2,86.4,86.4
Campylorhynchus chiapensis,84.5,85.5,50.9,Mean,Troglodytidae,Passeriformes,30.4,90.2,85,85
Campylorhynchus fasciatus,86.5,90.33333333,30,Mean,Troglodytidae,Passeriformes,26,83.1,88.8,88.8
Campylorhynchus griseus,84.5,82,42.4,Mean,Troglodytidae,Passeriformes,29,83.8,82.2,82.2
Campylorhynchus gularis,68,74,30.1,Mean,Troglodytidae,Passeriformes,22.9,73.6,71.6,71.6
Campylorhynchus jocosus,65.5,69,27.6,Mean,Troglodytidae,Passeriformes,22.1,72,67.2,67.2
Campylorhynchus megalopterus,89.33333333,87.33333333,33.1,Mean,Troglodytidae,Passeriformes,25.2,91.1,88.3,88.3
Campylorhynchus nuchalis,74.5,NA,23.2,Mean,Troglodytidae,Passeriformes,22.2,72.1,77.2,77.2
Campylorhynchus rufinucha,70.5,74,31,Mean,Troglodytidae,Passeriformes,22.6,70.8,72.2,72.2
Campylorhynchus turdinus,84,88.33333333,32.6,Mean,Troglodytidae,Passeriformes,26.7,85.4,86.6,86.6
Campylorhynchus yucatanicus,NA,79,35.5,Mean,Troglodytidae,Passeriformes,24.6,76.5,80.5,80.5
Campylorhynchus zonatus,77.5,85,34.6,Mean,Troglodytidae,Passeriformes,25.1,78.4,82,82
Cantorchilus elutus,NA,56,19.7,Mean,Troglodytidae,Passeriformes,23,59.3,56,56
Cantorchilus griseus,34.725,37.1,19.1,Mean,Troglodytidae,Passeriformes,19.1,51.2,35.7,35.7
Cantorchilus guarayanus,37,43,13.5,Mean,Troglodytidae,Passeriformes,21.6,53.3,45,45
Cantorchilus leucopogon,42,39.66666667,19.1,Mean,Troglodytidae,Passeriformes,19.2,54.9,40,40
Cantorchilus leucotis,49,52.33333333,19.4,Mean,Troglodytidae,Passeriformes,22,62.1,48.1,48.1
Cantorchilus longirostris,56.8,53.61666667,21.3,Mean,Troglodytidae,Passeriformes,21.8,63.6,54.1,54.1
Cantorchilus modestus,48.4,55.66666667,17.6,Mean,Troglodytidae,Passeriformes,24.1,57.1,52.4,52.4
Cantorchilus nigricapillus,54.53846154,56.26666667,23.9,Mean,Troglodytidae,Passeriformes,24.9,65.8,54.3,54.3
Cantorchilus semibadius,50.375,55.04545455,17,Mean,Troglodytidae,Passeriformes,23,62.5,53.3,53.3
Cantorchilus superciliaris,54.66666667,55.375,22.8,Mean,Troglodytidae,Passeriformes,23.7,66.3,55.2,55.2
Cantorchilus thoracicus,36.8,42.11111111,17.6,Mean,Troglodytidae,Passeriformes,20.5,58.1,40.6,40.6
Capsiempis flaveola,46.36,50.5,7.7,Mean,Tyrannidae,Passeriformes,16,49,48.5,48.5
Cardellina canadensis,51.34545455,52.89047619,10,Mean,Parulidae,Passeriformes,19.2,62.5,52.7,52.7
Cardellina pusilla,47.84444444,48.67272727,7,Mean,Parulidae,Passeriformes,17.9,56.3,48.1,48.1
Cardellina rubra,58.33333333,58.975,8.1,Mean,Parulidae,Passeriformes,18.3,61.2,58.6,58.6
Cardellina rubrifrons,58.725,62.3,8.1,Mean,Parulidae,Passeriformes,16.9,67.5,60.9,60.9
Cardellina versicolor,54.5,56.24,10,Mean,Parulidae,Passeriformes,18.4,60.7,55.7,55.7
Cardinalis cardinalis,97.90416667,104.175,42.6,Mean,Cardinalidae,Passeriformes,24.5,93.5,101.8,101.8
Cardinalis phoeniceus,80,82.68571429,35,Mean,Cardinalidae,Passeriformes,23.4,84.4,82.3,82.3
Cardinalis sinuatus,104.46,101.86,35.2,Mean,Cardinalidae,Passeriformes,24.4,93.3,103.2,103.2
Carduelis carduelis,49.5,48.30769231,16,Mean,Fringillidae,Passeriformes,14.7,77.4,48.6,48.6
Carduelis citrinella,52.75,53.8,12,Mean,Fringillidae,Passeriformes,14.7,77.4,53.3,53.3
Carduelis corsicana,51,51,12,Mean,Fringillidae,Passeriformes,14.5,72.1,51,51
Carpodacus dubius,74,78,31,Mean,Fringillidae,Passeriformes,21.5,84.4,76,76
Carpodacus edwardsii,69.75,68,26.5,Mean,Fringillidae,Passeriformes,21.3,78.1,68.7,68.7
Carpodacus erythrinus,57.5,59.33333333,24,Mean,Fringillidae,Passeriformes,16.4,80.2,58.6,58.6
Carpodacus grandis,66.5,78.5,33.4,Mean,Fringillidae,Passeriformes,19.2,88.6,73.9,73.9
Carpodacus pulcherrimus,63,66.675,19.2,Mean,Fringillidae,Passeriformes,19,75.5,64.6,64.6
Carpodacus puniceus,82,83.75,46.6,Mean,Fringillidae,Passeriformes,24,107.7,83.4,83.4
Carpodacus rhodochlamys,86.5,84.33333333,33.4,Mean,Fringillidae,Passeriformes,22.7,87.5,85.2,85.2
Carpodacus roborowskii,NA,78,33.4,Mean,Fringillidae,Passeriformes,18.2,101.2,69,69
Carpodacus rodochroa,54,58.33333333,17.8,Mean,Fringillidae,Passeriformes,18.1,79.9,56.6,56.6
Carpodacus rodopeplus,59.5,66.33333333,23,Mean,Fringillidae,Passeriformes,23.3,79.2,63.6,63.6
Carpodacus roseus,66,67.375,28.6,Mean,Fringillidae,Passeriformes,18.9,88,67.1,67.1
Carpodacus rubicilla,83,86.5,43.2,Mean,Fringillidae,Passeriformes,20.6,114.8,85.6,85.6
Carpodacus rubicilloides,88,87,42,Mean,Fringillidae,Passeriformes,23.9,105.4,87.4,87.4
Carpodacus sibiricus,82.5,91,17.4,Mean,Fringillidae,Passeriformes,15.4,71.2,86.8,86.8
Carpodacus sipahi,67,68.25,39.5,Mean,Fringillidae,Passeriformes,18.4,100.3,68,68
Carpodacus subhimachalus,75,77.33333333,46.1,Mean,Fringillidae,Passeriformes,21.9,89.8,76.4,76.4
Carpodacus synoicus,65.25,66.5,20.8,Mean,Fringillidae,Passeriformes,18.5,83.9,66,66
Carpodacus thura,70.5,72.66666667,31,Mean,Fringillidae,Passeriformes,22.6,82,71.8,71.8
Carpodacus trifasciatus,74.5,79,31,Mean,Fringillidae,Passeriformes,21.2,84.7,77.2,77.2
Carpodacus verreauxii,71,69,23,Mean,Fringillidae,Passeriformes,17.1,72.4,70,70
Carpodacus vinaceus,56,59.66666667,22.1,Mean,Fringillidae,Passeriformes,19.2,69,58.2,58.2
Carpodacus waltoni,62,61.33333333,27,Mean,Fringillidae,Passeriformes,18.1,71,61.5,61.5
Carpodectes antoniae,70.73333333,68.76666667,98,Mean,Cotingidae,Passeriformes,23.6,130.4,72.2,72.2
Carpodectes hopkei,93.36666667,91.13333333,102,Mean,Cotingidae,Passeriformes,24.1,150.3,92.2,92.2
Carpodectes nitidus,73.5,73.33333333,101.6,Mean,Cotingidae,Passeriformes,25,133.7,73.4,73.4
Carpornis cucullata,98.5,104,74.2,Mean,Cotingidae,Passeriformes,23.3,113.6,101.8,101.8
Carpornis melanocephala,96,89,64.2,Mean,Cotingidae,Passeriformes,21.6,109.5,91.8,91.8
Carpospiza brachydactyla,52,59,22.3,Mean,Passeridae,Passeriformes,18.1,93.6,56.2,56.2
Carterornis castus,NA,61,14,Mean,Monarchidae,Passeriformes,19.3,66,61,61
Carterornis chrysomela,61,54.375,15.6,Mean,Monarchidae,Passeriformes,17.9,72,55.7,55.7
Carterornis leucotis,67.5,63.16666667,11.4,Mean,Monarchidae,Passeriformes,18.6,69.2,63.7,63.7
Carterornis pileatus,NA,68,14,Mean,Monarchidae,Passeriformes,19.7,69.4,68,68
Caryothraustes canadensis,68.16,68.34,34.5,Mean,Cardinalidae,Passeriformes,20.5,90.8,71.2,71.2
Caryothraustes poliogaster,73.16666667,74.65,41.8,Mean,Cardinalidae,Passeriformes,21.5,92.9,73.8,73.8
Casiornis fuscus,72.7,72.9,19.5,Mean,Tyrannidae,Passeriformes,19.6,75.6,72.8,72.8
Casiornis rufus,80.25,83,24.8,Mean,Tyrannidae,Passeriformes,20.5,84.9,81.8,81.8
Cassiculus melanicterus,111.5,145.3333333,81.3,Mean,Icteridae,Passeriformes,31.3,145.8,131.8,131.8
Castanozoster thoracicus,58,57,11.9,Mean,Thraupidae,Passeriformes,20.4,63.8,60,60
