Species2_eBird,mean_Tail.LengthF,mean_Tail.LengthM,Mass,Sex,Family2,Order2,Tarsus.Length,Wing.Length,Tail.Length,Tail.Length.2
Myrmotherula brachyura,19.33333333,19.65,6.4,Mean,Thamnophilidae,Passeriformes,16.2,43.6,19.5,19.5
Myrmotherula cherriei,28.175,29.025,8.2,Mean,Thamnophilidae,Passeriformes,16.6,50.1,28.6,28.6
Myrmotherula grisea,29.5,33.075,8.4,Mean,Thamnophilidae,Passeriformes,15.1,52,31.5,31.5
Myrmotherula ignota,18.825,17.55,7.1,Mean,Thamnophilidae,Passeriformes,15.8,42.1,18.2,18.2
Myrmotherula iheringi,25.45,26.4,8,Mean,Thamnophilidae,Passeriformes,15.4,49.5,26.1,26.1
Myrmotherula klagesi,31.2,27.75,7.8,Mean,Thamnophilidae,Passeriformes,16.2,46.9,28.6,28.6
Myrmotherula longicauda,35.075,34.05555556,8.3,Mean,Thamnophilidae,Passeriformes,17.7,48,34.5,34.5
Myrmotherula longipennis,32.2,31.92083333,9.4,Mean,Thamnophilidae,Passeriformes,15.6,56.6,32,32
Myrmotherula menetriesii,28.325,30.5875,8.6,Mean,Thamnophilidae,Passeriformes,16.1,52.3,29.8,29.8
Myrmotherula minor,29.35,28.85,6.4,Mean,Thamnophilidae,Passeriformes,15.4,47.9,29.1,29.1
Myrmotherula multostriata,22.01666667,24.06666667,8,Mean,Thamnophilidae,Passeriformes,15.2,46.9,23,23
Myrmotherula pacifica,27.675,28.25,10.1,Mean,Thamnophilidae,Passeriformes,17.5,50.6,28,28
Myrmotherula schisticolor,37.3,36.45,9.6,Mean,Thamnophilidae,Passeriformes,15.6,54.9,36.9,36.9
Myrmotherula sclateri,20.53333333,22.9,8.4,Mean,Thamnophilidae,Passeriformes,16.4,44.3,22,22
Myrmotherula snowi,33.53333333,31.85,9.6,Mean,Thamnophilidae,Passeriformes,14.2,51.3,32.6,32.6
Myrmotherula sunensis,26.64,26.56666667,9.4,Mean,Thamnophilidae,Passeriformes,15,52.2,26.4,26.4
Myrmotherula surinamensis,24.15,23.58,8.3,Mean,Thamnophilidae,Passeriformes,16.9,49.1,23.8,23.8
Myrmotherula unicolor,35.725,35.48333333,11.5,Mean,Thamnophilidae,Passeriformes,15.8,48.2,35.6,35.6
Myrmotherula urosticta,29.45,28.4,8.4,Mean,Thamnophilidae,Passeriformes,14.6,50.3,30.2,30.2
Mystacornis crossleyi,54.5,51.57142857,24.5,Mean,Vangidae,Passeriformes,25.3,70.2,52.2,52.2
Myza celebensis,66,69,20,Mean,Meliphagidae,Passeriformes,19.1,77.2,65.7,65.7
Myza sarasinorum,83,88,22.5,Mean,Meliphagidae,Passeriformes,26.6,93.7,87.2,87.2
Myzomela adolphinae,33,34.33333333,7.4,Mean,Meliphagidae,Passeriformes,13.2,51,32.3,32.3
Myzomela albigula,54,60,14.6,Mean,Meliphagidae,Passeriformes,19.8,68.6,57.2,57.2
Myzomela blasii,NA,56,14.9,Mean,Meliphagidae,Passeriformes,17.1,65.5,56,56
Myzomela boiei,NA,38,10.8,Mean,Meliphagidae,Passeriformes,15.7,54.2,38,38
Myzomela caledonica,34.5,36.625,7,Mean,Meliphagidae,Passeriformes,15.1,54.9,36.2,36.2
Myzomela cardinalis,46.5,54,13.8,Mean,Meliphagidae,Passeriformes,18.8,67.5,46.3,46.3
Myzomela chermesina,48,54.33333333,10.8,Mean,Meliphagidae,Passeriformes,21.5,74.9,52.8,52.8
Myzomela chloroptera,36,37.875,10.8,Mean,Meliphagidae,Passeriformes,14.6,53.8,37.2,37.2
Myzomela cineracea,48,61,13.8,Mean,Meliphagidae,Passeriformes,18.8,68.9,51.7,51.7
Myzomela cruentata,35,41.5,8.2,Mean,Meliphagidae,Passeriformes,12.6,54.3,38.8,38.8
Myzomela dammermani,NA,36.3,7.8,Mean,Meliphagidae,Passeriformes,16.5,55,36.3,36.3
Myzomela eichhorni,44,45.66666667,10.8,Mean,Meliphagidae,Passeriformes,17.6,65.2,45,45
